date,temperature,humidity,pressure,wind_speed,precipitation,rain,injected_fault,isolation_prediction,isolation_anomaly,isolation_score,temperature_change,humidity_change,pressure_change,temperature_spike,temperature_flatline,temperature_drift,humidity_spike,pressure_change_flag,sensor_dropout,cross_sensor_inconsistency,cross_sensor_result,cross_sensor_reason,station_b_temperature,station_b_humidity,station_b_pressure,station_c_temperature,station_c_humidity,station_c_pressure,temperature_difference_b,humidity_difference_b,pressure_difference_b,temperature_difference_c,humidity_difference_c,pressure_difference_c,spatial_inconsistency,spatial_result,spatial_reason,temperature_difference,humidity_difference,pressure_difference,temporal_evidence,temporal_result,evidence_count,final_status,fault_type,confidence_score,confidence_percent,confidence,severity,reason,recommendation
2026-08-31 20:00:00+05:30,26.85,85.43747,1000.03625,12.399113,0.0,0.0,NONE,1,False,0.1439284839618426,,,,False,False,False,False,False,False,False,NORMAL,NORMAL,26.5,86.95532,1001.3703,26.95,83.92314,996.5192,0.3500000000000014,1.5178499999999957,1.3340500000000475,0.09999999999999787,1.514330000000001,3.51705000000004,False,NORMAL,NORMAL,0.3500000000000014,1.5178499999999957,3.51705000000004,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-08-31 21:00:00+05:30,26.3,87.461006,1000.0282,11.230904,0.1,0.1,NONE,1,False,0.12286779186588531,-0.5500000000000007,2.023535999999993,-0.008050000000025648,False,False,False,False,False,False,False,NORMAL,NORMAL,25.95,92.006,1001.364,26.25,89.58023,996.5996,0.3500000000000014,4.544994000000003,1.335800000000063,0.05000000000000071,2.1192240000000027,3.4285999999999603,False,NORMAL,NORMAL,0.3500000000000014,4.544994000000003,3.4285999999999603,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-08-31 22:00:00+05:30,25.95,88.75499,1000.12244,10.717182,0.1,0.1,NONE,1,False,0.10749716630656364,-0.3500000000000014,1.293984000000009,0.09424000000001342,False,False,False,False,False,False,False,NORMAL,NORMAL,25.9,91.454,1001.26373,26.05,90.374565,996.5943,0.05000000000000071,2.699009999999987,1.1412900000000263,0.10000000000000142,1.6195749999999975,3.5281400000000076,False,NORMAL,NORMAL,0.10000000000000142,2.699009999999987,3.5281400000000076,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-08-31 23:00:00+05:30,26.1,89.301056,999.62683,8.490582,0.6,0.6,NONE,1,False,0.02265746169178473,0.15000000000000213,0.5460659999999962,-0.4956099999999424,False,False,False,False,False,False,False,NORMAL,NORMAL,25.75,92.27051,1000.7638,26.05,90.374565,996.0983,0.3500000000000014,2.969453999999999,1.1369699999999057,0.05000000000000071,1.0735090000000014,3.528530000000046,False,NORMAL,NORMAL,0.3500000000000014,2.969453999999999,3.528530000000046,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-01 00:00:00+05:30,25.75,91.71935,999.42236,10.717182,0.2,0.2,NONE,1,False,0.0592697324799884,-0.3500000000000014,2.418294000000003,-0.2044700000000148,False,False,False,False,False,False,False,NORMAL,NORMAL,25.8,91.997444,1000.5652,25.85,92.27607,995.89465,0.05000000000000071,0.27809399999999584,1.1428399999999783,0.10000000000000142,0.5567199999999985,3.52771000000007,False,NORMAL,NORMAL,0.10000000000000142,0.5567199999999985,3.52771000000007,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-01 01:00:00+05:30,25.75,90.08314,998.9247,10.070353,0.0,0.0,NONE,1,False,0.09761272884339428,0.0,-1.6362100000000055,-0.4976599999999962,False,False,False,False,False,False,False,NORMAL,NORMAL,25.85,88.747086,1000.06714,25.85,89.82011,995.3987,0.10000000000000142,1.3360540000000043,1.142439999999965,0.10000000000000142,0.26303000000000054,3.5260000000000673,False,NORMAL,NORMAL,0.10000000000000142,1.3360540000000043,3.5260000000000673,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-01 02:00:00+05:30,26.05,85.61492,998.6308,10.717182,0.0,0.0,NONE,1,False,0.1278498019363078,0.3000000000000007,-4.468220000000002,-0.2939000000000078,False,False,False,False,False,False,False,NORMAL,NORMAL,26.15,84.59811,999.7716,26.15,85.62482,995.10925,0.09999999999999787,1.0168099999999924,1.140800000000013,0.09999999999999787,0.009900000000001796,3.5215500000000475,False,NORMAL,NORMAL,0.09999999999999787,1.0168099999999924,3.5215500000000475,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-01 03:00:00+05:30,26.25,81.594696,998.4345,10.337079,0.0,0.0,NONE,1,False,0.13431519878950898,0.1999999999999993,-4.020223999999999,-0.19630000000006476,False,False,False,False,False,False,False,NORMAL,NORMAL,26.25,81.10162,999.6732,26.2,82.33325,994.9121,0.0,0.49307600000000207,1.2386999999999944,0.05000000000000071,0.7385540000000077,3.522399999999948,False,NORMAL,NORMAL,0.05000000000000071,0.7385540000000077,3.522399999999948,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-01 04:00:00+05:30,26.45,78.22637,998.6367,10.8955765,0.0,0.0,NONE,1,False,0.1488559746612394,0.1999999999999993,-3.368325999999996,0.20220000000006166,False,False,False,False,False,False,False,NORMAL,NORMAL,26.35,77.974304,999.97345,26.35,78.68931,995.2137,0.09999999999999787,0.25206599999999924,1.3367499999999382,0.09999999999999787,0.46294000000000324,3.423000000000002,False,NORMAL,NORMAL,0.09999999999999787,0.46294000000000324,3.423000000000002,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-01 05:00:00+05:30,26.35,79.651566,998.8343,9.181765,0.0,0.0,NONE,1,False,0.14452204175721411,-0.09999999999999787,1.4251959999999997,0.1975999999999658,False,False,False,False,False,False,False,NORMAL,NORMAL,27.0,72.12714,1000.0803,26.65,76.3743,995.32104,0.6499999999999986,7.524426000000005,1.245999999999981,0.29999999999999716,3.2772659999999973,3.5132599999999456,False,NORMAL,NORMAL,0.6499999999999986,7.524426000000005,3.5132599999999456,False,NORMAL,0,NORMAL,NONE,0,0.0,LOW,NORMAL,All monitoring checks normal.,Continue normal monitoring.
