date,station_id,station_name,latitude,longitude,temperature,humidity,pressure,wind_speed,precipitation,rain
2026-08-31 20:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.85,85.43747,1000.03625,12.399113,0.0,0.0
2026-08-31 21:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.3,87.461006,1000.0282,11.230904,0.1,0.1
2026-08-31 22:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,25.95,88.75499,1000.12244,10.717182,0.1,0.1
2026-08-31 23:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.1,89.301056,999.62683,8.490582,0.6,0.6
2026-09-01 00:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,25.75,91.71935,999.42236,10.717182,0.2,0.2
2026-09-01 01:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,25.75,90.08314,998.9247,10.070353,0.0,0.0
2026-09-01 02:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.05,85.61492,998.6308,10.717182,0.0,0.0
2026-09-01 03:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.25,81.594696,998.4345,10.337079,0.0,0.0
2026-09-01 04:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.45,78.22637,998.6367,10.8955765,0.0,0.0
2026-09-01 05:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.35,79.651566,998.8343,9.181765,0.0,0.0
2026-09-01 06:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,26.9,76.41275,999.5395,9.734988,0.0,0.0
2026-09-01 07:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,28.15,72.54859,1000.6534,9.208192,0.0,0.0
2026-09-01 08:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,30.05,65.990166,1001.08,11.928989,0.0,0.0
2026-09-01 09:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,31.75,58.987236,1000.9062,11.609651,0.0,0.0
2026-09-01 10:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,32.8,55.757587,1001.12054,11.190442,0.0,0.0
2026-09-01 11:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,34.05,51.358322,1000.54144,10.120098,0.0,0.0
2026-09-01 12:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,34.4,50.981155,999.8496,8.865799,0.1,0.0
2026-09-01 13:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,34.45,49.770958,998.6555,9.422101,0.0,0.0
2026-09-01 14:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,34.95,47.67748,997.9659,9.6480665,0.0,0.0
2026-09-01 15:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,34.8,46.774223,997.6649,11.503113,0.0,0.0
2026-09-01 16:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,34.35,49.143486,997.95715,9.107359,0.0,0.0
2026-09-01 17:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,32.55,55.866737,998.7275,12.145665,0.0,0.0
2026-09-01 18:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,31.65,57.72345,999.909,11.588701,0.0,0.0
2026-09-01 19:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,30.65,61.107903,1000.7902,13.039754,0.0,0.0
2026-09-01 20:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,29.75,64.346214,1001.5732,10.837435,0.0,0.0
2026-09-01 21:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,29.25,66.22864,1002.06366,10.495713,0.0,0.0
2026-09-01 22:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,29.05,66.79541,1002.35913,9.181765,0.0,0.0
2026-09-01 23:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,29.2,66.420265,1001.9632,7.79215,0.0,0.0
2026-09-02 00:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,28.55,69.17932,1001.75433,9.6480665,0.0,0.0
2026-09-02 01:00:00+05:30,STATION_A,Primary Station,17.680139541625977,83.20425415039062,28.05,71.00502,1001.2491,9.826088,0.0,0.0
